Shop Code,Recency,Frequency,Monetary,Volatility,R_Score,V_Score,F_Score,M_Score,Segment,Cluster
Shop 001,1,10,21098.73,5.625253615222362,5,2,2,3,Promising,0
Shop 002,8,30,274376.18,16.807710680392294,4,1,5,5,Promising,1
Shop 003,6,12,55818.04,8.746890961802132,5,1,3,4,Promising,0
Shop 004,8,66,736288.83,5.78038182439937,4,2,5,5,Promising,1
Shop 005,14,27,56151.450000000004,4.480586892228274,4,4,5,4,Loyal,0
Shop 006,12,3,3328.44,4.943988304217743,4,3,1,1,Promising,0
Shop 007,14,27,33959.090000000004,5.0267756296480615,4,3,5,4,Loyal,0
Shop 008,106,9,6436.47,3.280131824991828,1,5,2,1,At Risk,0
Shop 009,21,16,21551.02,4.379778675969285,3,4,4,3,At Risk,0
Shop 010,20,30,15112.64,2.075407531044555,3,5,5,2,At Risk,0
Shop 011,20,19,56875.21,6.247704934316812,3,2,4,4,At Risk,0
Shop 012,41,5,12548.56,7.890084292736254,2,1,1,2,Dormant,0
Shop 013,33,10,16177.24,5.337710672716824,2,3,2,2,At Risk,0
Shop 014,13,13,13114.51,3.9477573711338216,4,4,3,2,Promising,0
Shop 015,22,30,58043.65,6.894986878940712,3,1,5,4,At Risk,0
Shop 016,40,8,18811.02,6.024686270044776,2,2,2,3,At Risk,0
Shop 017,5,15,14383.22,3.5115645726155433,5,4,3,2,Promising,0
Shop 018,11,14,26598.44,5.238540825699937,4,3,3,3,Loyal,0
Shop 019,4,21,41590.65,4.3912772704706855,5,4,4,4,VIP,0
Shop 020,83,7,13625.25,4.68472999997383,1,3,2,2,At Risk,0
Shop 021,6,18,27830.6,4.731781521620619,5,3,4,3,Loyal,0
Shop 022,105,6,36789.38,2.789388075253806,1,5,1,4,At Risk,0
Shop 023,174,6,9855.43,4.726667601955663,1,3,1,2,At Risk,0
Shop 024,76,5,5325.29,3.7630584133317786,1,4,1,1,At Risk,0
Shop 025,4,22,84746.98,7.846094502525921,5,1,4,5,Promising,0
Shop 026,13,24,42623.8,4.791732254437709,4,3,5,4,Loyal,0
Shop 027,4,12,10515.27,3.170683523689509,5,5,3,2,Promising,0
Shop 028,40,6,7170.16,4.76844251122187,2,3,1,1,At Risk,0
Shop 029,33,1,1829.71,0.0,2,5,1,1,At Risk,0
Shop 030,25,7,5549.63,3.257892205968283,3,5,2,1,At Risk,0
Shop 031,40,4,9377.33,5.470788520291646,2,2,1,2,Dormant,0
Shop 032,8,4,16300.039999999999,1.096629380345369,4,5,1,2,Promising,0
Shop 033,169,3,24187.69,7.622677274626697,1,1,1,3,At Risk,0
Shop 034,69,17,21433.68,4.744606434163372,1,3,4,3,At Risk,0
Shop 035,175,12,46328.8,5.909258077018362,1,2,3,4,At Risk,0
Shop 036,34,1,73.64,0.0,2,5,1,1,At Risk,0
Shop 037,5,32,35739.65,3.622089794223015,5,4,5,4,VIP,0
Shop 038,155,59,110684.22,9.085636316577443,1,1,5,5,At Risk,1
Shop 039,22,26,49160.47,5.433834270567024,3,2,5,4,At Risk,0
Shop 040,214,3,2064.4,3.73556348222208,1,4,1,1,At Risk,2
Shop 041,7,11,11493.44,2.71428149497997,4,5,3,2,Promising,0
Shop 042,8,13,7434.89,2.799512988728294,4,5,3,1,Promising,0
Shop 043,21,11,6903.46,3.3332678432595673,3,5,3,1,At Risk,0
