Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score
Shop 001,13,8,18084.15,5.975869082275512,2023,0,4,2,3,2
Shop 002,2,23,231269.11,17.16378772784738,2023,0,5,5,5,1
Shop 003,12,10,48004.1,9.243819721260301,2023,0,4,3,4,1
Shop 004,6,58,637711.04,5.845452638277469,2023,0,5,5,5,2
Shop 005,7,23,48212.87,4.486589174503178,2023,0,5,5,4,3
Shop 007,0,23,28780.05,5.107417872075704,2023,0,5,5,4,3
Shop 008,16,9,6436.47,3.280131824991827,2023,1,3,2,1,5
Shop 009,0,12,16440.08,4.344620081701432,2023,0,5,3,3,4
Shop 010,6,25,12825.26,2.0752884716133093,2023,0,5,5,2,5
Shop 011,22,16,49240.72,6.394913925962815,2023,0,3,4,4,2
Shop 012,113,4,7081.49,5.491103091537192,2023,0,1,1,2,2
Shop 013,2,7,11470.25,5.135267526342221,2023,0,5,2,2,3
Shop 014,12,11,10612.56,3.7356270010413333,2023,0,4,3,2,4
Shop 015,34,23,50114.61,7.548326745701902,2023,0,2,5,4,1
Shop 016,22,7,16631.09,6.151574921117009,2023,0,3,2,3,2
Shop 017,6,12,11703.56,3.7381982109483607,2023,0,5,3,2,4
Shop 018,13,12,23063.57,5.208206800909342,2023,0,4,3,3,3
Shop 019,7,17,32951.04,4.401751959018947,2023,0,5,4,4,4
Shop 020,14,6,12501.43,4.797903568660417,2023,0,3,2,2,3
Shop 021,16,16,23682.53,4.789115774777809,2023,0,3,4,3,3
Shop 022,15,6,36789.38,2.789388075253807,2023,1,3,2,4,5
Shop 023,84,6,9855.43,4.7266676019556675,2023,1,1,2,2,3
Shop 024,65,4,4305.21,3.939081086343804,2023,0,1,1,1,4
Shop 025,2,18,71027.98,7.970148680314649,2023,0,5,4,5,1
Shop 026,7,20,33982.97,4.728046322619939,2023,0,5,5,4,3
Shop 027,20,10,8966.36,3.207565599763192,2023,0,3,3,2,5
