R_Score,M_Score,Segment,Size,Labels
5,1,Promising,21,Item 1
5,2,Promising,26,Item 2
5,3,Loyal,17,Item 3
5,3,Promising,10,Item 4
5,4,Loyal,8,Item 5
5,4,Promising,12,Item 6
5,4,VIP,8,Item 7
5,5,Loyal,7,Item 8
5,5,Promising,34,Item 9
5,5,VIP,5,Item 10
4,1,Promising,17,Item 11
4,2,Promising,33,Item 12
4,3,Loyal,15,Item 13
4,3,Promising,8,Item 14
4,4,Loyal,22,Item 15
4,4,Promising,21,Item 16
4,5,Loyal,11,Item 17
4,5,Promising,31,Item 18
3,1,At Risk,12,Item 19
3,2,At Risk,18,Item 20
3,3,At Risk,33,Item 21
3,4,At Risk,41,Item 22
3,5,At Risk,36,Item 23
2,1,At Risk,28,Item 24
2,1,Dormant,2,Item 25
2,2,At Risk,21,Item 26
2,2,Dormant,18,Item 27
2,3,At Risk,38,Item 28
2,4,At Risk,17,Item 29
2,5,At Risk,10,Item 30
1,1,At Risk,53,Item 31
1,1,Dormant,12,Item 32
1,2,At Risk,18,Item 33
1,2,Dormant,10,Item 34
1,3,At Risk,23,Item 35
1,4,At Risk,15,Item 36
1,5,At Risk,11,Item 37
