Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score,Segment,Average Order Value,YTD_RLV,Trans_num_orders,Trans_avg_order_value,Expected Lifetime Orders,Expected RLV
Shop 001,13,8,18084.15,5.975869082275512,2023,0,4,2,3,2,Loyal,2260.51875,21098.73,10,2109.873,12.303564932949673,27812.43922277523
Shop 002,2,23,231269.11,17.16378772784738,2023,0,5,5,5,1,VIP,10055.178695652174,274376.18,30,9145.872666666666,12.303564932949673,123714.54399436871
Shop 003,12,10,48004.1,9.2438197212603,2023,0,4,3,4,1,Loyal,4800.41,55818.04,12,4651.503333333333,12.303564932949673,59062.156139780935
Shop 004,6,58,637711.04,5.845452638277469,2023,0,5,5,5,2,VIP,10995.017931034483,736288.83,66,11155.891363636363,12.303564932949673,135277.91705342874
Shop 005,7,23,48212.87,4.486589174503178,2023,0,5,5,4,3,VIP,2096.211739130435,56151.45,27,2079.6833333333334,12.303564932949673,25790.877245602667
Shop 007,0,23,28780.05,5.107417872075704,2023,0,5,5,4,3,VIP,1251.3065217391304,33959.090000000004,27,1257.7440740740742,12.303564932949673,15395.531041240793
Shop 008,16,9,6436.47,3.280131824991827,2023,1,3,2,1,5,At Risk,715.1633333333334,6436.47,9,715.1633333333334,12.303564932949673,8799.058509331398
Shop 009,0,12,16440.08,4.344620081701432,2023,0,5,3,3,4,Loyal,1370.006666666667,21551.02,16,1346.93875,12.303564932949673,16855.965981907273
Shop 010,6,25,12825.26,2.0752884716133093,2023,0,5,5,2,5,Promising,513.0104,15112.64,30,503.75466666666665,12.303564932949673,6311.856767678485
Shop 011,22,16,49240.72,6.394913925962815,2023,0,3,4,4,2,At Risk,3077.545,56875.21,19,2993.432105263158,12.303564932949673,37864.774741574605
Shop 012,113,4,7081.49,5.491103091537192,2023,0,1,1,2,2,At Risk,1770.3725,12548.56,5,2509.712,12.303564932949673,21781.893009258445
Shop 013,2,7,11470.25,5.135267526342221,2023,0,5,2,2,3,Promising,1638.607142857143,16177.24,10,1617.724,12.303564932949673,20160.709381737997
Shop 014,12,11,10612.56,3.7356270010413337,2023,0,4,3,2,4,Promising,964.7781818181818,13114.51,13,1008.8084615384615,12.303564932949673,11870.211005893125
Shop 015,34,23,50114.61,7.548326745701902,2023,0,2,5,4,1,At Risk,2178.8960869565217,58043.65,30,1934.7883333333334,12.303564932949673,26808.18948801952
Shop 016,22,7,16631.09,6.151574921117009,2023,0,3,2,3,2,At Risk,2375.87,18811.02,8,2351.3775,12.303564932949673,29231.670817247137
Shop 017,6,12,11703.56,3.7381982109483607,2023,0,5,3,2,4,Promising,975.2966666666666,14383.22,15,958.8813333333333,12.303564932949673,11999.625867222705
Shop 018,13,12,23063.57,5.208206800909342,2023,0,4,3,3,3,Loyal,1921.9641666666666,26598.44,14,1899.8885714285714,12.303564932949673,23647.01092338584
Shop 019,7,17,32951.04,4.401751959018947,2023,0,5,4,4,4,VIP,1938.2964705882353,41590.65,21,1980.507142857143,12.303564932949673,23847.956485189527
